pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,10,3,-1,,1579,-0.7411019632679192,-0.9696967587231511,821,-1.0142509135201012,-2.0209857639099567,2400,-0.8345416666666864
GBPUSD,11,3,1,,1579,-0.011906269790988038,-0.016594438494006124,821,-0.4058465286236825,-0.9896583689774824,2400,-0.14666666666667225
GBPUSD,11,3,-1,,1579,-0.388093730209012,-0.5409080802735967,821,0.005846528623682631,0.014256783226693544,2400,-0.25333333333332775
GBPUSD,12,3,1,,1580,-0.03189873417724358,-0.09403161844147856,821,-0.06467722289890675,-0.15081056805197718,2401,-0.04310703873388059
GBPUSD,12,3,-1,,1580,-0.3681012658227563,-1.085095025506171,821,-0.3353227771010931,-0.7818860524426934,2401,-0.3568929612661193
GBPUSD,13,3,1,,1583,-1.2990524320909524,-2.7366662537417508,824,0.06541262135916485,0.1101084296724676,2407,-0.8319484835895413
GBPUSD,13,3,-1,,1583,0.8990524320909526,1.8940008813096876,824,-0.46541262135916467,-0.7834245413622214,2407,0.4319484835895414
GBPUSD,14,3,1,,1583,-1.4272267845862736,-2.031432723659766,824,-0.4803398058252223,-0.5928873985931606,2407,-1.1030743664312648
GBPUSD,14,3,-1,,1583,1.0272267845862737,1.4620956720856841,824,0.08033980582522263,0.09916408738468693,2407,0.703074366431265
GBPUSD,15,3,1,,1585,-2.1673817034700043,-2.5638978526607668,824,-1.2422330097087615,-1.1770849106597754,2409,-1.85093399750933
GBPUSD,15,3,-1,,1585,1.7673817034700048,2.090719021529004,824,0.8422330097087621,0.798062649470391,2409,1.4509339975093307
GBPUSD,16,3,1,,1587,-1.3212980466288686,-1.461628311166359,824,-0.1959951456310961,-0.17756725235281082,2411,-0.9367067606802314
GBPUSD,16,3,-1,,1587,0.9212980466288686,1.0191457645840716,824,-0.20400485436890378,-0.18482387071516454,2411,0.5367067606802314
GBPUSD,17,3,1,,1587,-1.2573408947699645,-1.439573326701069,824,0.395995145631046,0.38433262262538037,2411,-0.6922853587722736
GBPUSD,17,3,-1,,1587,0.8573408947699647,0.981599412804172,824,-0.7959951456310457,-0.7725521519460433,2411,0.29228535877227385
GBPUSD,18,3,1,,1587,-1.104158790170184,-1.3310432347394439,824,-0.010558252427194317,-0.010070393058989211,2411,-0.7304023226877188
GBPUSD,18,3,-1,,1587,0.7041587901701839,0.8488505477494538,824,-0.38944174757280586,-0.3714470267386831,2411,0.33040232268771874
GBPUSD,19,3,1,,1587,-0.9516698172652704,-1.0919820936450968,824,-1.4037621359223558,-1.3368739269164844,2411,-1.1061800082953155
GBPUSD,19,3,-1,,1587,0.5516698172652704,0.6330069012688042,824,1.0037621359223563,0.9559336257911584,2411,0.7061800082953155
GBPUSD,20,3,1,,1587,-1.2010081915564175,-1.2977486339483804,824,0.17512135922327887,0.15548960982824442,2411,-0.7306926586478859
GBPUSD,20,3,-1,,1587,0.8010081915564171,0.8655288895462724,824,-0.5751213592232786,-0.5106481365045838,2411,0.33069265864788566
GBPUSD,21,3,1,,1587,-1.082419659735322,-1.1671755566786903,824,0.21116504854369855,0.1668193534628525,2411,-0.6403152218996053
