pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
GBPJPY,21,6,2412,0.09769147308767724,0.08432017543409992,1588,0.3863266473768317,824,-0.48778914641611837,48.67330016583748
GBPJPY,22,6,2410,-0.09556881606127907,-0.08778272521248406,1587,0.08876958359162389,823,-0.3203586835703255,48.79668049792531
GBPJPY,23,6,2411,-1.0098691442596384,-1.0054354506543517,1588,-1.3214416041777994,823,0.23660659863202765,47.53214433844878
GBPJPY,0,8,2411,-1.9920611125729522,-2.0164878254438277,1587,-3.0468274758761997,824,0.9960988195062356,47.90543343011199
GBPJPY,1,8,2411,-2.1568060316937148,-2.278332600466744,1587,-2.44351737268355,824,-0.30649775253854017,47.573620904189134
GBPJPY,2,8,2408,-1.275400623755803,-1.4085197339094417,1584,-1.8212391644683712,824,0.3722471927545803,46.80232558139535
GBPJPY,3,8,2404,-0.5300492989980385,-0.554274816630991,1580,-1.2916705120503287,824,1.1180951900502343,47.8369384359401
GBPJPY,4,8,2398,0.42120549042018685,0.35106887422092864,1578,0.2599781624865488,820,0.28300401295680555,47.831526271893246
GBPJPY,5,8,2341,1.374775281421466,1.0340578472315978,1520,0.6864716373898506,821,1.0939387687432287,48.86800512601452
GBPJPY,6,8,2342,-0.8121616622525744,-0.6149528314257575,1533,0.04198421523711404,809,-1.915257402665225,44.70538001707942
GBPJPY,7,8,2401,-0.3726963241906933,-0.2982736609827826,1580,0.8239373816795736,821,-2.9375495985988374,45.481049562682216
GBPJPY,8,8,2400,1.8387031968421865,1.4460039482874494,1579,1.7141150483556464,821,-0.49918042728588335,48.375
GBPJPY,9,8,2400,2.4829948635088726,2.1537641323678356,1579,1.514456104621645,821,1.9016088702069847,49.75
